x,y,side
229.46533015429918,-226.89684223597283,right
230.01850400858484,-201.87242679285504,right
231.0150655106844,-177.0454991473648,right
230.95309819071778,-151.94981157874253,right
228.76689359625362,-125.1500122736037,right
221.37497376124588,-98.27351761188557,right
211.41336395761616,-74.38298971954346,right
201.96698623928248,-49.52541334479102,right
175.6061105473487,-27.428775530872798,right
142.4178429941895,-26.753547828059396,right
117.570904253018,-32.48770970685209,right
93.1779702347115,-38.378219391310196,right
69.14822180525401,-44.586077936988964,right
44.51542208286745,-50.12199995595954,right
18.620643791468623,-57.16221445578515,right
-4.895820354483034,-68.15330727844179,right
-27.502421302762265,-79.56888786784194,right
-50.01099894673416,-90.54673404144278,right
-72.55993842448628,-101.48894421894353,right
-95.36352415514068,-113.11060355556377,right
-118.25134333311416,-126.18956497730909,right
-138.59605971582994,-146.58649778062167,right
-153.96381833408154,-170.54255458479238,right
-161.21613340687196,-202.3110331041339,right
-156.88733860536186,-232.1728041514206,right
-132.39922786180327,-255.18206198830885,right
-105.5773167752545,-267.4552677527472,right
-80.34560754861091,-274.3649847594003,right
-56.45040587047276,-280.8913699956496,right
-32.29846742483495,-287.61404134882633,right
-7.774941395100832,-293.7731970845771,right
16.600394934168953,-299.58494310806884,right
40.637343852981715,-305.60694451282194,right
64.34517128270969,-313.0731652573673,right
86.7864851939678,-320.34578343755345,right
108.40211458112093,-331.6200299572459,right
130.18593256350186,-343.3636352940637,right
152.09507071761487,-355.3845397462792,right
174.07145125276926,-367.39422845327124,right
196.06990984534116,-379.3562003041602,right
218.09316055621673,-391.2690819996044,right
240.14248377774396,-403.13413622303085,right
262.5173671873338,-414.3846680317851,right
284.9349944194627,-425.5380546833933,right
306.8499459689716,-437.630456928373,right
328.53021651577944,-450.14999049864514,right
350.19237262216575,-462.67634361120435,right
372.03675911407726,-474.8162773517181,right
394.5510361605973,-485.6321071990382,right
416.75451133854665,-496.9920816406505,right
438.72172055194403,-508.7569082042264,right
460.5732249740124,-520.70969785485,right
481.8763279354136,-532.2155103942868,right
498.6039842565061,-546.9914536723103,right
513.1153836096694,-564.5703743605642,right
520.9235376615874,-584.8397629173928,right
523.9396293286478,-606.5134149878277,right
521.0444931567356,-628.3785310655277,right
514.3088698846035,-650.5687012419502,right
504.97756102023016,-673.4217250579497,right
495.5688158223211,-696.6115257714746,right
486.28236457388306,-719.7976252794786,right
476.893909168205,-742.9441818755636,right
466.54449582325697,-765.6598391098742,right
455.3022052729721,-787.8947987143911,right
443.9353512934639,-810.1945769988812,right
432.5939642130285,-832.9050687014027,right
424.14231715190397,-851.48352550127,right
411.24178041408754,-856.7172146668615,right
388.4361313214112,-858.6646766135106,right
363.3487257252638,-860.7363068620649,right
338.43314044947056,-864.0141922472998,right
315.98414001397816,-865.225102763964,right
296.15192590296414,-862.1870380395194,right
273.3250170665592,-853.6502349887115,right
249.71951955102386,-845.0880313493032,right
225.86551445171298,-836.7178389018313,right
203.05819526868916,-828.1649144426838,right
183.12258178564073,-816.225278448405,right
165.2060174797873,-802.0900225063507,right
149.8085157385772,-783.8996149438991,right
134.50309988569987,-764.802830602034,right
118.31657215777842,-744.9222873971395,right
105.21821975466614,-728.2548565562076,right
107.08995336816164,-708.7225224751238,right
107.94054013428988,-683.5447912768187,right
111.49283049287587,-660.2952108181261,right
117.97998198690846,-637.1296376141846,right
125.31226972219653,-613.187600281185,right
132.22479681075805,-588.8689114424179,right
138.12028719661348,-564.5920907092852,right
144.4969598870997,-540.3679556525142,right
150.87962670950253,-514.3983358018686,right
143.78564746713405,-483.12136057682557,right
119.0464889361412,-462.05314550089923,right
94.9947850210652,-453.34554277612375,right
71.74560467137061,-443.7873412230708,right
48.47900858085561,-434.4307065877335,right
25.154657937581916,-425.31944410152903,right
1.8492849030898948,-416.2446244936392,right
-21.422323718797603,-407.1504170140033,right
-44.66535810449246,-397.9985776260392,right
-67.82638246684442,-388.60398338034764,right
-90.97512017851848,-379.1467204777062,right
-114.12801381020466,-369.673123351713,right
-137.2914389881841,-360.20449472488633,right
-160.37491029697458,-350.53369492177245,right
-183.3412110663842,-340.5745728972837,right
-206.3678197988994,-330.6420558388176,right
-229.51258415371842,-320.944102193493,right
-248.8555240310964,-311.41531627266374,right
-260.2037069200937,-296.5353641532405,right
-267.2606591354789,-276.01651744439727,right
-269.6767619525075,-255.28400886068835,right
-266.4183203213694,-233.15421345481525,right
-261.6815659362577,-209.51868031365794,right
-252.31191975493277,-189.29833605134252,right
-242.02220278159882,-167.55912168457928,right
-229.90862518975302,-147.12178317826348,right
-214.5265675805186,-130.1804108013585,right
-196.55955008655957,-114.95959570711285,right
-177.64577809861552,-100.58895167876064,right
-157.01712735855196,-88.30891214489046,right
-135.00734542661982,-78.00572737295674,right
-112.52570061417033,-68.22346484295629,right
-90.55041856511588,-56.93957969935981,right
-67.93310340573707,-46.89569408155838,right
-45.00557204019465,-37.33592975347561,right
-21.712925916673985,-27.6019793763138,right
0.8745831234675974,-16.21206373142345,right
